eartag,species,date,dpi,barn,ln_r_1,ln_r_2,ln_med_1,ln_med_2,ln_b_1,ln_b_2,ln_mes_1,ln_mes_2,ln_t_1,ln_t_2,lung_cr_1,lung_cr_2,lung_ca_1,lung_ca_2,colon1,colon2,peyers1,peyers2,spleen1,spleen2,tongue_a_1,tongue_a_2,tonsil1,tonsil2,nasal_muc_1,nasal_muc_2,eyelid1,eyelid2,ln_r_mean,ln_med_mean,ln_b_mean,ln_mes_mean,ln_t_mean,lung_cr_mean,lung_ca_mean,colon_mean,peyers_mean,spleen_mean,tongue_a_mean,tonsil_mean,nasal_muc_mean,eyelid_mean
246,Caprine,10/8/2021,1,2,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Caprine,10/8/2021,1,6,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Caprine,11/8/2021,2,2,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Caprine,11/8/2021,2,6,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Caprine,12/8/2021,3,2,19.5409,19.3887,30.7556,30.338,U,U,U,U,20.419,20.2375,U,U,U,U,U,U,U,U,41.0822,37.4401,U,U,23.3915,23.2159,U,U,U,U,19.4648,30.5468,0,0,20.32825,0,0,0,0,39.26115,0,23.3037,0,0
200,Caprine,12/8/2021,3,6,20.0089,20.0155,U,U,U,U,37.1725,40.5288,21.5074,21.6783,U,U,U,U,U,U,U,U,25.624,25.8189,U,U,U,U,U,U,U,U,20.0122,0,0,38.85065,21.59285,0,0,0,0,25.72145,0,0,0,0
198,Caprine,13/8/2021,4,2,17.5177,17.4555,U,U,21.6708,22.0275,22.8453,23.0754,20.5507,20.6815,U,U,U,U,U,U,21.4014,21.3087,22.5695,22.5985,U,U,19.6396,19.6817,27.8318,27.5981,22.3961,22.1684,17.4866,0,21.84915,22.96035,20.6161,0,0,0,21.35505,22.584,0,19.66065,27.71495,22.28225
195,Caprine,13/8/2021,4,6,17.9478,17.7543,20.1238,20.0302,18.5436,18.4956,21.7251,21.4292,19.5096,19.361,U,U,U,U,U,U,26.6468,25.5628,20.6079,20.5793,U,U,21.1222,21.0969,U,U,20.6213,20.8087,17.85105,20.077,18.5196,21.57715,19.4353,0,0,0,26.1048,20.5936,0,21.10955,0,20.715
241,Caprine,14/8/2021,5,2,15.8879,15.8735,16.525,16.633,16.5217,16.5857,16.6498,16.7321,16.2837,16.2382,U,U,U,U,25.9636,26.6205,U,U,19.8111,19.8668,26.2341,26.5711,17.4953,17.5388,24.7313,24.7089,19.8079,19.7714,15.8807,16.579,16.5537,16.69095,16.26095,0,0,26.29205,0,19.83895,26.4026,17.51705,24.7201,19.78965
209,Caprine,14/8/2021,5,6,18.2465,18.2522,20.3036,20.3022,20.2076,20.1455,24.2278,24.0401,20.2586,20.3524,U,U,U,U,U,U,U,U,22.0228,22.1317,U,U,18.051,18.1851,U,U,41.8054,U,18.24935,20.3029,20.17655,24.13395,20.3055,0,0,0,0,22.07725,0,18.11805,0,41.8054
150,Caprine,15/8/2021,6,2,17.1423,16.8808,19.4442,19.3149,18.093,17.8888,17.6484,17.5016,18.4721,18.4121,U,U,U,U,42.0689,U,26.2376,24.7589,20.2786,20.3989,U,U,15.9496,15.8926,24.2383,24.2233,18.9591,18.891,17.01155,19.37955,17.9909,17.575,18.4421,0,0,42.0689,25.49825,20.33875,0,15.9211,24.2308,18.92505
178,Caprine,15/8/2021,6,6,21.5877,21.4663,20.5095,20.5163,20.3079,20.4337,20.8999,20.8859,29.9662,28.2973,U,U,U,U,U,U,23.9352,23.8747,21.3773,21.4983,U,U,20.0712,19.6405,26.5058,27.1948,27.8296,28.2095,21.527,20.5129,20.3708,20.8929,29.13175,0,0,0,23.90495,21.4378,0,19.85585,26.8503,28.01955
206,Caprine,16/8/2021,7,2,22.3657,22.5786,38.203,U,40.5085,U,43.0525,41.0331,16.5089,16.6686,U,U,U,U,U,U,16.8024,16.9067,16.0984,16.1793,18.534,18.606,U,U,17.9972,18.0037,31.3154,32.6057,22.47215,38.203,40.5085,42.0428,16.58875,0,0,0,16.85455,16.13885,18.57,0,18.00045,31.96055
196,Caprine,16/8/2021,7,6,23.4649,23.3214,16.772,16.9072,15.6293,15.6913,17.6858,17.6932,18.3427,18.0407,20.0191,20.1437,19.0451,18.963,15.8507,15.6655,15.7261,15.6235,15.9712,15.8539,20.1781,19.9847,17.7609,17.541,24.7415,24.8707,16.9198,16.9098,23.39315,16.8396,15.6603,17.6895,18.1917,20.0814,19.00405,15.7581,15.6748,15.91255,20.0814,17.65095,24.8061,16.9148
254,Caprine,17/8/2021,8,2,15.5202,15.4916,15.4654,15.5263,15.4897,15.5249,14.734,14.7324,15.7928,15.6404,U,U,22.4871,22.5538,15.4376,15.409,19.1247,19.0277,16.3929,16.4679,20.8123,20.5654,19.0442,19.135,20.4865,20.4048,18.0772,18.1063,15.5059,15.49585,15.5073,14.7332,15.7166,0,22.52045,15.4233,19.0762,16.4304,20.68885,19.0896,20.44565,18.09175
253,Caprine,17/8/2021,8,6,16.2434,16.192,16.4646,16.5094,16.4852,16.7604,15.9837,15.9361,17.1208,17.2523,U,U,U,U,15.0885,15.0285,25.5887,24.7228,16.8946,16.6691,18.1488,18.0832,17.8592,17.7673,19.4893,19.2344,17.2426,17.2652,16.2177,16.487,16.6228,15.9599,17.18655,0,0,15.0585,25.15575,16.78185,18.116,17.81325,19.36185,17.2539
